পাশে	pashe
আছে	che
হয়েছে	hayeche
খোলা	khola
শেষ	shesa
গভীর	gabhira
উপবিষ্ট	upabisa
চিম্টি	cimi
আঘাত	aghata
সেদ্ধ	seddha
নিথর	nithara
শুকনো	shukano
একটি	ekai
ব্র্যাক	bryaka
এবং	ebang
সহকারে	sahakare
প্রত্যাখ্যান	pratyakhyana
প্যান্ট	pyana
কোড	koda
স্কুল	skula
বিন্দু	bindu
অঁ্যা	amya
অংশ	ansha
অংশগ্রহণ	anshagrahana
অংশগ্রহণ	anshagrahana
করা	kara
অংশগ্রাহক	anshagrahaka
অংশভাগ	anshabhaga
করা	kara
অংশীদার	anshidara
অংশীদারিত্ব	anshidaritba
অংশু	anshu
অংশুল	anshula
অংশুশিরা	anshushira
অংস	ansa
অংসফলক	ansaphalaka
অকথিত	akathita
অকথ্য	akathya
অকপটতা	akapaata
অকপটভাবে	akapaabhabe
অকপটে	akapae
অকর্মক	akarmaka
অকর্মা	akarma
অকলঙ্ক	akalanka
অকল্পনীয়	akalpaniya
অকস্মাৎ	akasmat
অকাট্য	akaya
অকাতরে	akatare
অকারণ	akarana
অকারণে	akarane
অকার্য	akarya
অকার্যকর	akaryakara
অকাল	akala
অকালপক্ক	akalapakka
অকালে	akale
অকুস্থল	akusthala
অকৃত	akrta
অকৃতকার্যতা	akrtakaryata
অকৃতজ্ঞ	akrtajna
অকৃতজ্ঞতা	akrtajnata
অকৃত্রিম	akrtrima
অক্টোপাস	akopasa
অক্টোবর	akobara
অক্রিয়ভাবে	akriyabhabe
অক্লান্ত	aklanta
অক্ষ	aksa
অক্ষত	aksata
অক্ষম	aksama
অক্ষম	aksama
করা	kara
অক্ষমতা	aksamata
অক্ষমা	aksama
অক্ষর	aksara
অক্ষর	aksara
বাদ	bada
দেত্তয়ার	dettayara
চিহ্ন	cihna
অক্ষরে	aksare
অক্ষরে	aksare
অক্ষিগোলক	aksigolaka
অক্ষিপট	aksipaa
অক্সাইড	aksaida
অক্সিজেন	aksijena
অখণ্ড	akhanda
অখ্যাত	akhyata
অখ্যাতি	akhyati
অগত্যা	agatya
অগন্তব্য	agantabya
অগভীর	agabhira
অগভীরতা	agabhirata
অগাস্ট	agasa
অগোছাল	agochala
অগোছালভাবে	agochalabhabe
অগোছালো	agochalo
অগ্নি	agni
ড্রিল	drila
অগ্নি	agni
নির্বাপক	nirbapaka
অগ্নি	agni
বিপদাশঙ্কা	bipadashanka
অগ্নিকাণ্ডনির্বাপণকারী	agnikandanirbapanakari
দমকলকর্মী	damakalakarmi
অগ্নিকুণ্ড	agnikunda
অগ্নিতারণ	agnitarana
অগ্নিদাহ্য	agnidahya
অগ্নিনির্বাপক	agninirbapaka
অগ্নিশর্মা	agnisharma
অগ্নিসংযোগ	agnisanyoga
অগ্নিসদৃশ	agnisadrsha
অগ্ন্যাশয়	agnyashaya
অগ্ন্যুত্পাত	agnyutpata
অগ্ন্যুত্সব	agnyutsaba
অগ্রগতি	agragati
অগ্রগামী	agragami
অগ্রজ	agraja
অগ্রণী	agrani
অগ্রদূত	agraduta
অগ্রবর্তী	agrabarti
অগ্রবর্তী	agrabarti
ঠিকানা	hikana
অগ্রবর্তী	agrabarti
হত্তয়া	hattaya
অগ্রভাগ	agrabhaga
অগ্রভাগহীন	agrabhagahina
অগ্রসর	agrasara
অগ্রাধিকার	agradhikara
অগ্রাহ্য	agrahya
অগ্রাহ্য	agrahya
করা	kara
অগ্রে	agre
অঘোরে	aghore
অঙ্ক	anka
অঙ্কন	ankana
অঙ্কন	ankana
বোর্ড	borda
অঙ্কনশিল্পী	ankanashilpi
অঙ্কবাচক	ankabacaka
অঙ্কবাচক	ankabacaka
সংখ্যা	sankhya
অঙ্কিত	ankita
করা	kara
অঙ্কুর	ankura
অঙ্কুরিত	ankurita
করা	kara
অঙ্কুশ	ankusha
অঙ্গ	anga
অঙ্গচ্ছেদ	angaccheda
অঙ্গবিকৃতি	angabikrti
অঙ্গবিন্যাস	angabinyasa
অঙ্গবিহীন	angabihina
অঙ্গভঙ্গি	angabhangi
অঙ্গারক	angaraka
দ্বারা	dbara
গ্যাস	gyasa
সৃষ্টি	srsi
করার	karara
যঁত্র	yamtra
অঙ্গীকার	angikara
অঙ্গীভূত	angibhuta
করা	kara
অঙ্গুলাঙ্ক	angulanka
অঙ্গুলী	anguli
অঙ্গুষ্ঠ	angusha
অঙ্গুষ্ঠানা	angushana
অঙ্গের	angera
অশোভনীয়	ashobhaniya
অনাবৃত	anabrta
অবস্থা	abastha
অবস্থা	abastha
অচলতা	acalata
অচিন্তিত	acintita
রচনা	racana
অচেতন	acetana
অচেতন	acetana
করা	kara
অচ্ছেদ্য	acchedya
অছি	achi
সংকোচকারী	sankocakari
অজয়	ajaya
অজাচার	ajacara
অজাচারী	ajacari
অজুহাত	ajuhata
অজুহাতে	ajuhate
ক্রয়বিক্রয়	krayabikraya
অজৈব	ajaiba
অজ্ঞ	ajna
অজ্ঞতা	ajnata
অজ্ঞাতে	ajnate
অজ্ঞানবাদী	ajnanabadi
অজ্ঞাবাদ	ajnabada
অঝোর	ajhora
অটলভাবে	aalabhabe
অটলভাবে	aalabhabe
কাজ	kaja
করা	kara
অটিস্টিক	aisika
অট্টহাসি	aahasi
অট্টালিকার	aalikara
সদরের	sadarera
বহির্ভাগ	bahirbhaga
অডিও	adio
অঢেল	adhela
অণ্ডকোষ	andakosa
অণ্ডস্ফুটন	andasphuana
অণ্ডস্ফুটন	andasphuana
যন্ত্র	yantra
অতন্দ্র	atandra
অতলান্তিক	atalantika
অতলান্তিক	atalantika
মহাসাগর	mahasagara
অতি	ati
অতি	ati
অভিমানী	abhimani
অতি	ati
অতি	ati
ক্ষুদ্র	ksudra
অতি	ati
বিদ্বান	bidbana
অতিক্রম	atikrama
করা	kara
অতিক্রম	atikrama
করিয়া	kariya
যাত্তয়া	yattaya
অতিক্রান্ত	atikranta
অতিথি	atithi
অতিথিসেবাপরায়ণ	atithisebaparayana
অতিথিসেবিকা	atithisebika
অতিদ্রুতসম্পাদিত	atidrutasampadita
কাজ	kaja
অতিপ্রাকৃত	atiprakrta
অতিপ্রাচুর্য	atipracurya
অতিবাহিত	atibahita
অতিভোজন	atibhojana
অতিভোজন	atibhojana
করা	kara
অতিমন্দা	atimanda
অতিমাত্রায়	atimatraya
উত্তেজিত	uttejita
অতিমানবিক	atimanabika
অতিরঞ্জন	atiranjana
অতিরিক্ত	atirikta
অতিরিক্ত	atirikta
অঙ্গ	anga
অতিরিক্ত	atirikta
অনুমান	anumana
করা	kara
অতিরিক্ত	atirikta
অতিরিক্ত	atirikta
ঘুমাবে	ghumabe
অতিরিক্ত	atirikta
জনসংখ্যা	janasankhya
অতিরিক্ত	atirikta
পরিশ্রম	parishrama
অতিরিক্ত	atirikta
ভার	bhara
অতিরিক্ত	atirikta
মূল্য	mulya
নিরূপণ	nirupana
করা	kara
অতিরিক্ত	atirikta
শক্তি	shakti
অতিরিক্ত	atirikta
শালীনতার	shalinatara
বা	ba
শোভনতার	shobhanatara
ভান	bhana
করে	kare
অতিরিক্ত	atirikta
সুসজিত	susajita
অতিরেক	atireka
অতিশয়	atishaya
অতিশয়	atishaya
আনন্দ	ananda
করা	kara
অতিশয়	atishaya
পরিচ্ছন্নরূপে	paricchannarupe
অতিশয়	atishaya
বিরক্তিকর	biraktikara
অতিশয়	atishaya
লালয়িত	lalayita
হত্তয়া	hattaya
অতিশালীন	atishalina
অতিসরল	atisarala
অতিসরলীকরণ	atisaralikarana
অতিসার	atisara
অতীত	atita
অতীত	atita
অভিজ্ঞতা	abhijnata
অতীব	atiba
অতীব	atiba
অতীব	atiba
প্রবল	prabala
অতীব	atiba
ব্যয়বহুল	byayabahula
অতৃপ্ত	atrpta
অত্যধিক	atyadhika
অত্যধিক	atyadhika
উত্তেজনা	uttejana
অত্যধিক	atyadhika
পান	pana
অত্যধিক	atyadhika
বোঝাই	bojhai
অত্যধিক	atyadhika
হাসিখুশি	hasikhushi
অত্যন্ত	atyanta
অত্যন্ত	atyanta
শক্তিশালী	shaktishali
জাতি	jati
অত্যন্ত	atyanta
সুন্দরভাবে	sundarabhabe
অত্যল্পকালস্থায়ী	atyalpakalasthayi
অত্যস্ত	atyasta
অত্যাচারী	atyacari
অত্যাধিক	atyadhika
অত্যাবশ্যক	atyabashyaka
অত্যাবশ্যক	atyabashyaka
পরিসংখ্যান	parisankhyana
অত্যাবশ্যকরূপে	atyabashyakarupe
অত্যাশ্চর্য	atyashcarya
অত্যুক্তি	atyukti
করা	kara
অত্যুগ্র	atyugra
অত্যুচ্চ	atyucca
অত্যুত্সাহী	atyutsahi
অত্র	atra
অথবা	athaba
অথর্ব	atharba
অদক্ষ	adaksa
অদক্ষতা	adaksata
অদম্য	adamya
অদম্য	adamya
করা	kara
অদম্য	adamya
মানসিক	manasika
শক্তি	shakti
অদরকারী	adarakari
অদর্শন	adarshana
করে	kare
অদাহ্য	adahya
অদূরদর্শিতা	aduradarshita
অদূরদর্শী	aduradarshi
অদূরে	adure
অদৃশ্য	adrshya
অদৃশ্য	adrshya
করা	kara
অদৃষ্টবাদ	adrsabada
অদৃষ্টবাদী	adrsabadi
অদ্ভুত	adbhuta
অদ্ভুতভাবে	adbhutabhabe
অদ্ভুতস্বভাব	adbhutasbabhaba
অদ্ভূত	adbhuta
অদ্য	adya
রজনীতে	rajanite
ক্ষিপ্ত	ksipta
করা	kara
পতিত	patita
অধমর্ণ	adhamarna
অধরা	adhara
অধস্তন	adhastana
অধিকতর	adhikatara
অধিকতর	adhikatara
ভারী	bhari
অধিকতর	adhikatara
স্থায়ী	sthayi
হত্তয়া	hattaya
অধিকার	adhikara
অধিকার	adhikara
বিল	bila
অধিকারচ্যুত	adhikaracyuta
করা	kara
অধিকারে	adhikare
থাকা	thaka
অধিকাল	adhikala
অধিকৃত	adhikrta
অধিক্ষেত্র	adhiksetra
অধিগম্য	adhigamya
অধিনায়ক	adhinayaka
অধিবিষ	adhibisa
অধিবৃত্তি	adhibrtti
অধিবেশন	adhibeshana
অধিভার	adhibhara
অধিযাচন	adhiyacana
অধিশিক্ষক	adhishiksaka
অধিষ্ঠাতা	adhishata
অধিষ্ঠিত	adhishita
অধীক্ষক	adhiksaka
অধীনতা	adhinata
অধীর	adhira
অধীরচিত্ত	adhiracitta
অধুনাতন	adhunatana
অধুনালুপ্ত	adhunalupta
ডোডো	dodo
জাতীয়	jatiya
পাখি	pakhi
অধৈর্য	adhairya
অধোগমন	adhogamana
অধ্যক্ষ	adhyaksa
অধ্যক্ষ	adhyaksa
হত্তয়া	hattaya
অধ্যক্ষতা	adhyaksata
অধ্যবসায়	adhyabasaya
অধ্যবসায়ী	adhyabasayi
অধ্যয়ন	adhyayana
অধ্যাদেশ	adhyadesha
অধ্যাপক	adhyapaka
অধ্যায়	adhyaya
অধ্যাস	adhyasa
​​TARP	TARP
​​ঢালু	dhalu
​​লাইন	laina
অনগ্রসর	anagrasara
অনতিক্রম্য	anatikramya
অনধিকার	anadhikara
অনধিকারচর্চাকারী	anadhikaracarcakari
অনধিকারপ্রবেশ	anadhikaraprabesha
অনধিকারপ্রবেশ	anadhikaraprabesha
করা	kara
অনধিকারপ্রবেশকারী	anadhikaraprabeshakari
অনধিকারপ্রবেশমূলক	anadhikaraprabeshamulaka
অননুগামী	ananugami
ব্যক্তি	byakti
অনন্ত	ananta
অনন্তকাল	anantakala
অনন্যচিত্তে	ananyacitte
অনন্যসাধারণ	ananyasadharana
অনপনেয়	anapaneya
অনপনেয়রূপে	anapaneyarupe
অনপিাতহীন	anapiatahina
অনবদ্য	anabadya
অনবধানতাবশত	anabadhanatabashata
অনভিজ্ঞ	anabhijna
অনভিজ্ঞতা	anabhijnata
অনভিলাষী	anabhilasi
অনমনীয়	anamaniya
