বহন অন	Bahana ana
বহন	Bahana
গাজর	Gājara
বাহক	Bāhaka
বহন	Bahana
গাড়ী - পুল	Gāṛī - pula
গাড়ী পুল	Gāṛī pula
কার্পেটে আবরণ	Kārpēṭē ābaraṇa
carpeted	Carpeted
গালিচা	Gālicā
তক্ষণ	Takṣaṇa
সূত্রধর	Sūtradhara
দোষারোপ করা	Dōṣārōpa karā
carousel	Carousel
মদ্যপানোত্সব	Madyapānōtsaba
সংকীর্তন	Saṅkīrtana
মাংসাশী	Mānsāśī
মাংসাশী	Mānsāśī
কার্নিভালের	Kārnibhālēra
গোলাপী পাতলবর্ণ	Gōlāpī pātalabarṇa
জাগতিক	Jāgatika
হত্যাকাণ্ড	Hatyākāṇḍa
carjacking	Carjacking
carjacker	Carjacker
যত্নশীল	Yatnaśīla
ব্যঙ্গচিত্র	Byaṅgacitra
Caribou	Caribou
ক্যারিবিয়ান	Kyāribiẏāna
জাহাজী মাল	Jāhājī māla
তত্ত্বাবধায়ক	Tattbābadhāẏaka
আদর	Ādara
অসতর্কতা	Asatarkatā
অগোছালভাবে	Agōchālabhābē
অসাবধান	Asābadhāna
সাবধানতার	Sābadhānatāra
সাবধানে	Sābadhānē
সাবধান	Sābadhāna
ভাবনাহীন	Bhābanāhīna
পেশা	Pēśā
ক্যারীন	Kyārīna
যত্ন	Yatna
কার্ড	Kārḍa
হৃদ্বিজ্ঞান	Hr̥dbijñāna
অঙ্কবাচক সংখ্যা	Aṅkabācaka saṅkhyā
অঙ্কবাচক	Aṅkabācaka
পশমী গেঁজী	Paśamī gēm̐jī
কার্ডিয়াক অ্যারেস্ট	Kārḍiẏāka ayārēsṭa
কার্ডিয়াক	Kārḍiẏāka
কার্ড ক্যাটালগ	Kārḍa kyāṭālaga
পিচবোর্ড	Picabōrḍa
কার্ড	Kārḍa
দেহমাত্র	Dēhamātra
অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র	Aṅgāraka dbārā gyāsa sr̥ṣṭi karāra yam̐tra
কারবন্ কাগজ	Kāraban kāgaja
জ্বলন্ত অঙ্গার হইতে নির্গত বিষাক্ত গ্যাসবিশেষ	Jbalanta aṅgāra ha'itē nirgata biṣākta gyāsabiśēṣa
কার্বন ডাই অক্সাইড	Kārbana ḍā'i aksā'iḍa
কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি	Kāraban kāgaja dbārā gr̥hīta pratilipi
কার্বনেটেড	Kārbanēṭēḍa
কারবন	Kārabana
কার্বোহাইড্রেট	Kārbōhā'iḍrēṭa
ভ্রমণকারী মরূযাত্রিদল	Bhramaṇakārī marūyātridala
ক্যারেট	Kyārēṭa
আঠাল মিঠাই	Āṭhāla miṭhā'i
গাড়ী	Gāṛī
গ্রেপ্তার	Grēptāra
বন্দিকারী	Bandikārī
বন্দিদশা	Bandidaśā
বন্দী	Bandī
চিত্তাকর্ষক	Cittākarṣaka
মাত করা	Māta karā
ক্যাপশন	Kyāpaśana
অধিনায়ক	Adhināẏaka
ক্যাপসুল	Kyāpasula
উলটান	Ulaṭāna
মকর	Makara
খেয়ালখুশিমত	Khēẏālakhuśimata
খামখেয়ালী	Khāmakhēẏālī
আবদার	Ābadāra
কাপাচিনো	Kāpācinō
আত্মসমর্পণ	Ātmasamarpaṇa
আত্মসমর্পণ করা	Ātmasamarpaṇa karā
ব্যবস্থাপরিষদ্ভবন	Byabasthāpariṣadbhabana
ব্যবস্থাপরিষদ্ভবন	Byabasthāpariṣadbhabana
মৃতু্যদণ্ড	Mr̥tuyadaṇḍa
বড় হাতের অক্ষর	Baṛa hātēra akṣara
নিজ সুবিধার্থে প্রয়োগ করা	Nija subidhārthē praẏōga karā
নিজ সুবিধার্থে প্রয়োগ	Nija subidhārthē praẏōga
পুঁজিবাদী	Pum̐jibādī
পুঁজিবাদ	Pum̐jibāda
রাজধানী	Rājadhānī
কৈশিক	Kaiśika
লম্ফ	Lampha
অন্তরীপ	Antarīpa
ধারণক্ষমতা	Dhāraṇakṣamatā
সক্ষম	Sakṣama
সামর্থ্য	Sāmarthya
টুপি	Ṭupi
গভীর খাদ	Gabhīra khāda
পট	Paṭa
ক্যানভাস	Kyānabhāsa
ক্যানটোনীজ	Kyānaṭōnīja
স্বচ্ছন্দধাবন	Sbacchandadhābana
সেনানিবাসের দোকান	Sēnānibāsēra dōkāna
বদমেজাজী	Badamējājī
ফুটি	Phuṭi
নারা	Nārā
শামিয়ানা	Śāmiẏānā
canopied	Canopied
শাল্তি	Śālti
মিতব্যয়ী	Mitabyaẏī
নারা	Nārā
গোলাগুলি	Gōlāguli
কামান	Kāmāna
নরমাংসভক্ষণপ্রথা	Naramānsabhakṣaṇaprathā
রাক্ষস	Rākṣasa
Cannery	Cannery
রেডিমেড	Rēḍimēḍa
ভাং	Bhāṁ
কীট কালশিটে	Kīṭa kālaśiṭē
কীট	Kīṭa
টিন	Ṭina
কুকুরের	Kukurēra
বেত	Bēta
ক্যান্ডি বার	Kyānḍi bāra
মিছরি	Michari
অকপটতা	Akapaṭatā
পিলসুজ	Pilasuja
সন্ধ্যাকাল	Sandhyākāla
বাতি	Bāti
অকপটে	Akapaṭē
প্রার্থী	Prārthī
প্রার্থী	Prārthī
স্পষ্টবক্তা	Spaṣṭabaktā
ক্যান্সার	Kyānsāra
কর্কটরাশি	Karkaṭarāśi
বাতিল	Bātila
বাতিল	Bātila
হলদে	Haladē
খাল	Khāla
কানাডিয়ান	Kānāḍiẏāna
যা করতে পারেন	Yā karatē pārēna
বিদ্যায়তন	Bidyāẏatana
ক্যাম্পিং সাইট	Kyāmpiṁ sā'iṭa
ক্যাম্পিং	Kyāmpiṁ
ক্যাম্পের স্থান	Kyāmpēra sthāna
