' ই.এম.	' I.ema.
, পাশে	, Pashe
- আছে হয়েছে	- che hayeche
- খোলা শেষ	- Khola shesa
- গভীর উপবিষ্ট	- Gabhira upabisa
- চিম্টি আঘাত	- Cimi aghata
- নরম সেদ্ধ	- Narama sed'dha
- নিথর শুকনো	- Nithara shukano
BRIC একটি ব্র্যাক	BRIC ekai bryaka
NFL এবং	NFL ebang
PG - 13	PG - 13
PJ এর	PJ era
Pooh সহকারে প্রত্যাখ্যান	Pooh sahakare pratyakhyana
Smarty প্যান্ট	Smarty pyana
ZIP কোড	ZIP koda
grad স্কুল	Grad skula
polka বিন্দু	Polka bindu
অ আ ক খ	A a ka kha
অঁ্যা	Amya
অঁ্যা	Amya
অংশ	Ansha
অংশ	Ansha
অংশ	Ansha
অংশগ্রহণ	Anshagrahana
অংশগ্রহণ করা	Anshagrahana kara
অংশগ্রাহক	Anshagrahaka
অংশভাগ করা	Anshabhaga kara
অংশীদার	Anshidara
অংশীদারিত্ব	Anshidaritba
অংশু	Anshu
অংশুল	Anshula
অংশুশিরা	Anshushira
অংস	Ansa
অংসফলক	Ansaphalaka
অই	A'i
অই	A'i
অকথিত	Akathita
অকথ্য	Akathya
অকপট	Akapaa
অকপট	Akapaa
অকপট	Akapaa
অকপটতা	Akapaata
অকপটতা	Akapaata
অকপটতা	Akapaata
অকপটভাবে	Akapaabhabe
অকপটে	Akapae
অকর্মক	Akarmaka
অকর্মা	Akarma
অকর্মা	Akarma
অকলঙ্ক	Akalanka
অকল্পনীয়	Akalpaniya
অকল্পনীয়	Akalpaniya
অকস্মাৎ	Akasmat
অকাট্য	Akaya
অকাতরে	Akatare
অকারণ	Akarana
অকারণে	Akarane
অকার্য	Akarya
অকার্যকর	Akaryakara
অকার্যকর	Akaryakara
অকার্যকর	Akaryakara
অকার্যকর	Akaryakara
অকাল	Akala
অকালপক্ক	Akalapakka
অকালে	Akale
অকুস্থল	Akusthala
অকৃত	Akrta
অকৃতকার্যতা	Akrtakaryata
অকৃতজ্ঞ	Akrtajna
অকৃতজ্ঞতা	Akrtajnata
অকৃত্রিম	Akrtrima
অক্টোপাস	Akopasa
অক্টোবর	Akobara
অক্টোবর	Akobara
অক্রিয়ভাবে	Akriyabhabe
অক্লান্ত	Aklanta
অক্ষ	Aksa
অক্ষ	Aksa
অক্ষ	Aksa
অক্ষত	Aksata
অক্ষম	Aksama
অক্ষম	Aksama
